first_name,last_name,price,price greater than 100
William,Dixon,109.0372796,True
Kristen,Horn,262.5246522,True
Kimberly,Chang,187.0072583,True
Mary,Ball,283.1746476,True
Benjamin,Craig,143.8715817,True
Cathy,Werner,61.50899135,False
Brandon,Bell,48.6373091,False
Paul,Farley,12.38946479,False
Sarah,Mcdaniel,151.5954472,True
Caroline,Anderson,75.62152103,False
Carl,Jones,147.0294047,True
Scott,Lee,244.1856527,True
Kaylee,Coleman,17.86427032,False
Charles,Parker,215.537283,True
Susan,Hess,38.35997063,False
Kiara,Collier,204.1825486,True
Scott,Martinez,165.8514289,True
Christopher,Ortega,30.30144506,False
Michael,Russell,243.1724911,True
Dwayne,Johnson,287.4932856,True
Patty,Smith,180.2344257,True
Deanna,Sherman,99.79911842,False
Douglas,Francis,161.7688908,True
Vicki,Diaz,18.64987672,False
Robin,Phillips,244.9119836,True
Travis,Rice,141.4988254,True
Ashley,Rocha,50.00303731,False
Sarah,Jacobson,80.48182457,False
Kayla,Shannon,98.91531394,False
Sean Wang DDS,,220.6282177,True
Richard,Estrada,49.16869151,False
Joseph,Torres,150.1237842,True
Kim,Jones,18.8434377,False
Melissa,Tanner,269.1840299,True
Jackson,Cline,64.31251721,False
Sonya,Foster,296.2155012,True
Allen,Williams,15.3908317,False
Thomas,Rivera,95.22843716,False
Jamie,Silva,296.8244075,True
Kathleen,Moore,92.50052419,False
Evelyn,Pineda,169.2289293,True
Kyle,Peters,106.7990952,True
Anthony,Cruz,49.10199817,False
Eric,Flores,122.9556986,True
Anna,Richardson,254.4952606,True
Gary,Harper,47.59652592,False
Linda,Johnson,115.3627815,True
Melissa,Smith,87.97994846,False
Kristen,Floyd,135.0230413,True
William,Diaz,192.1491355,True
Benjamin,Smith,134.9052939,True
David,Glenn,216.2910463,True
Dawn,Jones,271.6144999,True
Joel,Smith,14.4949198,False
Larry Grimes MD,,268.6758682,True
Joseph,Arnold,121.7750468,True
Kyle,Long,241.6216391,True
Brittany,Day,261.5460574,True
Bobby,Ward,63.5130358,False
Thomas,Lee,254.0755771,True
Jennifer,Hansen,101.4887352,True
Lisa,Murray,176.0919174,True
Meghan,Wade,273.2303409,True
Tammie,Brooks,84.88856949,False
Maria,Bell,264.0746652,True
Allison,Livingston,130.3484426,True
Chris,Hays,17.34276379,False
Courtney,Mitchell,78.93257699,False
Shawn,White,188.0219256,True
Taylor,Gomez,225.0198237,True
Jeremy,Rodriguez,200.7248208,True
April,Garcia,66.24555967,False
Zachary,Watts,15.49738786,False
Sarah,Montoya,206.8212547,True
Jennifer,Barker,89.18615989,False
Sharon,Garza,72.35772704,False
Tiffany,Stevens,196.379322,True
Ruben,Armstrong,93.69836738,False
Jeffrey,Spencer,271.162282,True
Nicole,Ramsey,247.8596071,True
Anne,Roy,277.9324821,True
Lori,Sanchez,285.6616405,True
Allison,Chavez,126.850211,True
Marcus,Adams,36.47040894,False
Mary,Smith,16.31507197,False
Joseph,Reed,178.4576742,True
Jason,Armstrong,26.04525746,False
Jeff,Armstrong,88.47561284,False
Sean,Shields,247.8395255,True
Jessica,Allison,104.742308,True
Christian,Grant,99.11707917,False
Edward,Watson,180.3535589,True
Derrick,Cooke,142.090116,True
Arthur Hall MD,,235.9669749,True
Sean,Patrick,139.4507994,True
Heather,Collins,127.3925734,True
Megan,Gomez,107.8624451,True
William,Hale,114.6709254,True
Olivia,Thompson,8.608441014,False
Lori,Torres,18.85827433,False
Vickie,Hernandez,214.9321807,True
Kimberly,Brown,40.3199327,False
Sherry,Meza,182.8545499,True
Phillip,Hansen,44.11611704,False
Jeanette,Knight,28.68694329,False
Kayla,Hanson,27.63036397,False
James,Johnston,284.4290554,True
John,Porter,53.72799274,False
Elizabeth,Reyes,93.68075684,False
Kristen,Henry,77.00624357,False
Claudia,Anderson,160.3401593,True
Nicholas,Webb,18.71038619,False
Allison,Cooper,206.0421068,True
Zachary,Barnes,280.7741315,True
Gregory Hill III,,265.9765808,True
Terry,Ayers,16.51163899,False
Jessica,Wilson,290.4095461,True
Daniel,Frazier,190.3291917,True
Brian,Welch,218.2505083,True
Carol,Chavez,123.1834427,True
Ethan,Mcdonald,214.3503174,True
Gerald,Martinez,57.54786356,False
Eric,King,59.87926423,False
